Año;Partido;Tendencia;Curules
2022;Conservador;74;43
2022;Centro Democratico;70;29
2022;Partido de la U;69;26
2022;Liberal;67;46
2022;Liga Anticorrupcion;65;4
2022;Cambio Radical;64;31
2022;MIRA;62;6
2022;Alianza Verde;52;28
2022;Polo Democratico ;36;2
2022;MAIS;35;2
2022;AICO - Indigenas;25;2
2022;Pacto Historico;20;55
2022;Comunes;15;10
2018;Conservador;74;37
2018;Colombia Justa Libres;74;4
2018;Centro Democratico;70;55
2018;Partido de la U;69;41
2018;Liberal;67;50
2018;Cambio Radical;64;49
2018;MIRA;62;5
2018;Alianza Verde;52;20
2018;Dignidad ;52;2
2018;Polo Democratico ;36;6
2018;MAIS;35;3
2018;Lista de la Decencia;26;5
2018;AICO - Indigenas;25;1
2018;Colombia Humana;20;2
2018;Comunes;15;12
2014;Conservador;74;47
2014;Centro Democratico;70;42
2014;Partido de la U;69;61
2014;Liberal;67;61
2014;Opcion Ciudadana;67;13
2014;Cambio Radical;64;27
2014;MIRA;62;7
2014;Alianza Verde;52;12
2014;ASI;40;3
2014;Polo Democratico ;36;8
2014;MAIS;35;1
2010;Conservador;74;63
2010;PIN;70;25
2010;Partido de la U;69;83
2010;Liberal;67;58
2010;Cambio Radical;64;24
2010;MIRA;62;4
2010;Alianza Verde;52;9
2010;ASI;40;2
2010;Polo Democratico ;36;14
2010;AICO - Indigenas;25;1
2006;Conservador;74;61
2006;Colombia Viva;73;6
2006;Alas Equipo Colombia;70;17
2006;Partido de la U;69;63
2006;Convergencia Ciudadana;69;24
2006;Liberal;67;64
2006;Colombia Democrática;67;11
2006;Cambio Radical;64;50
2006;MIRA;62;3
2006;ASI;40;1
2006;Polo Democratico ;36;21
2006;AICO - Indigenas;25;1
2002;Conservador;74;73
2002;Movimiento Nacional;74;15
2002;Movimiento Unionista;74;7
2002;Coalision;70;39
2002;Movimiento Integracion Popular;70;12
2002;Equipo Colombia;70;13
2002;Convergencia Ciudadana;69;9
2002;Partido de la U;69;3
2002;Liberal;67;157
2002;Alas;67;4
2002;Movimiento Progresista;67;3
2002;Cambio Radical;64;22
2002;Vanguardia Moral;62;8
2002;Somos Colombia;62;3
2002;MIRA;62;2
2002;Movimiento Ciudadano;52;3
2002;ASI;40;3
2002;AICO - Indigenas;25;3
2002;Anapo;20;1
2002;MOIR;15;1
